name,rating,user_ratings_total,types,address,latitude,longitude,cluster
자티고개,3.8,21.0,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",대전 유성구 덕명동 산 27,36.3315394,127.268247,0
무궁화학습원,4.3,136.0,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",충남 계룡시 신도안면 용동리 99-1,36.3247222,127.2447222,0
성북동산림욕장,4.0,20.0,"['tourist_attraction', 'point_of_interest', 'establishment']",대전 유성구 성북동 산 72-3,36.3153522,127.2775277,0
동월계곡,4.1,55.0,"['tourist_attraction', 'point_of_interest', 'establishment']",충남 공주시 반포면 학봉리 794-57,36.3503263,127.2557262,0
계룡산국립공원 수통골지구,4.5,3153.0,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",대전 유성구 계산동 산 40,36.3451969,127.2888026,0
로봇공원,3.6,154.0,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",대전 유성구 구암동 668,36.3593285,127.3071359,5
두루봉근린공원,4.2,28.0,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",대전 유성구 지족동 881-1,36.3778471,127.3226738,5
선사공원,4.3,10.0,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",대전 유성구 지족동 881-1,36.3779631,127.3226913,5
반석어린이공원,4.1,21.0,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",대전 유성구 반석동 655,36.3896282,127.3146917,5
대전선사박물관,4.2,160.0,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",대전 유성구 노은동 523,36.37171379999999,127.3238858,5
은구비공원,4.7,615.0,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",대전 유성구 지족동 920,36.3740469,127.3241357,5
벽화마을 (새마을동네),3.6,39.0,"['tourist_attraction', 'point_of_interest', 'establishment']",대전 유성구 구암동 424-43,36.36034800000001,127.3202317,5
신성근린공원,4.6,5.0,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",대전 유성구 신성동 206,36.387377,127.3477792,5
대전 성북동 석조보살입상,4.3,12.0,"['tourist_attraction', 'point_of_interest', 'establishment']",대전 유성구 성북동 산 12-1,36.3143036,127.2937513,0
대전 칠성당 지석묘군,4.5,12.0,"['tourist_attraction', 'point_of_interest', 'establishment']",대전 유성구 교촌동 7-1,36.3124707,127.3094999,0
기성관,4.0,1.0,"['tourist_attraction', 'point_of_interest', 'establishment']",대전 유성구 원내동 213-4,36.2996668,127.3163607,0
대전 내동리 지석묘,5.0,3.0,"['tourist_attraction', 'point_of_interest', 'establishment']",대전 유성구 교촌동 11-1,36.3082328,127.3193959,0
천년근린공원,4.2,68.0,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",대전 유성구 상대동 485,36.3424676,127.3344411,0
방죽어린이공원,3.3,26.0,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",대전 유성구 구암동 618-1,36.3505499,127.3319134,5
들말어린이공원,3.3,9.0,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",대전 유성구 봉명동 568-20,36.353356,127.3355067,5
작은내수변공원,4.3,435.0,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",대전 유성구 봉명동 1057,36.3432682,127.3418225,5
용반들근린공원,4.1,23.0,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",대전 유성구 봉명동 1024,36.3521054,127.3420235,5
온천어린이공원,2.6,14.0,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",대전 유성구 봉명동 537-4,36.3561883,127.3443009,5
우산거리,,,"['tourist_attraction', 'point_of_interest', 'establishment']",대전 유성구 봉명동 625,36.35875920000001,127.3453096,5
은평공원,4.3,341.0,"['tourist_attraction', 'point_of_interest', 'establishment']",대전 서구 월평동 313,36.3595771,127.3628268,6
둔산대공원,4.5,272.0,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",대전 서구 만년동 396,36.367771,127.3886019,6
엑스포다리,4.5,1247.0,"['tourist_attraction', 'point_of_interest', 'establishment']",대전 유성구 도룡동 604,36.37271490000001,127.3879907,6
3·8의거 둔지미공원,4.0,44.0,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",대전 서구 둔산동 956,36.3571332,127.3754923,6
대전엑스포시민광장,4.5,3068.0,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",대전 서구 만년동 396,36.36756339999999,127.3879898,6
한국과학기술원 오리연못,4.6,329.0,"['tourist_attraction', 'point_of_interest', 'establishment']",대전 유성구 구성동 23,36.3682076,127.3625946,6
한빛탑,4.2,1480.0,"['tourist_attraction', 'point_of_interest', 'establishment']",대전 유성구 도룡동 3-1,36.3765465,127.388132,6
국립중앙과학관,4.5,5020.0,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",대전 유성구 구성동 32-2,36.3755897,127.3766119,6
대전시립미술관,4.4,1236.0,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",대전 서구 만년동 396,36.3667991,127.3857407,6
화폐박물관,4.3,724.0,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",대전 유성구 가정동 35,36.3775,127.3705556,6
지질박물관,4.5,643.0,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",대전 유성구 가정동 30,36.377519,127.362326,6
체육공원,4.2,90.0,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",대전 유성구 구성동 410-1,36.36621530000001,127.3667152,6
이응노미술관,4.4,549.0,"['tourist_attraction', 'art_gallery', 'museum', 'point_of_interest', 'establishment']",대전 서구 만년동 396,36.3668425,127.3870299,6
갈마공원,4.4,318.0,"['tourist_attraction', 'point_of_interest', 'establishment']",대전 서구 갈마동 820,36.3563554,127.3731037,6
대전 엑스포 과학공원,4.1,127.0,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",대전 유성구 도룡동 3-1,36.3777239,127.3863453,6
엑스포 음악분수,4.6,393.0,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",대전 유성구 도룡동 3-1,36.37560200000001,127.3880346,6
한밭수목원,4.6,3789.0,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",대전 서구 만년동 396,36.3683723,127.3880555,6
세고,,,"['tourist_attraction', 'point_of_interest', 'establishment']",대전 서구 둔산동 1095,36.3515381,127.3740298,6
청사숲,4.6,5.0,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",대전 서구 둔산동 930,36.3589084,127.3849082,6
김반의묘,4.8,4.0,"['tourist_attraction', 'point_of_interest', 'establishment']",대전 유성구 전민동 산 18-17,36.4018853,127.3943307,2
2012년 아름다운 숲 13회 수상지,5.0,1.0,"['tourist_attraction', 'point_of_interest', 'establishment']",대전 유성구 전민동 464-1,36.3999648,127.40791,2
상옥체육공원,4.2,159.0,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",대전 유성구 문지동 66,36.3891021,127.4061552,2
징검다리,5.0,1.0,"['tourist_attraction', 'point_of_interest', 'establishment']",대전 유성구 전민동 242,36.3995402,127.4121437,2
대전솔로몬로파크,4.4,416.0,"['tourist_attraction', 'amusement_park', 'point_of_interest', 'establishment']",대전 유성구 원촌동 224,36.3778352,127.3999531,2
숭현서원,4.0,22.0,"['tourist_attraction', 'point_of_interest', 'establishment']",대전 유성구 원촌동 산 35-1,36.3798254,127.4046556,2
아델,,,"['tourist_attraction', 'point_of_interest', 'establishment']",대전 유성구 관평동 1213,36.4221003,127.3931897,2
진잠근린공원,3.9,65.0,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",대전 유성구 원내동 358,36.294973,127.3205826,0
사랑의 오작교,3.5,2.0,"['tourist_attraction', 'point_of_interest', 'establishment']",대전 서구 도안동 2306,36.305899,127.3596016,3
정림동 갑천변,4.4,280.0,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",대전 서구 정림동 402,36.3054143,127.3611831,3
파평윤씨 서윤공파 고택,4.0,15.0,"['tourist_attraction', 'point_of_interest', 'establishment']",대전 서구 괴곡동 466,36.2847526,127.3514966,3
아델,,,"['tourist_attraction', 'point_of_interest', 'establishment']",대전 서구 정림동 584,36.304875,127.3642581,3
월평공원,4.4,76.0,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",대전 서구 월평동 산 36-4,36.3325248,127.3612166,6
변동근린공원,4.1,109.0,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",대전 서구 도마동 413-3,36.32599799999999,127.3745766,3
2014년 아름다운 숲 15회 수상지,5.0,3.0,"['tourist_attraction', 'point_of_interest', 'establishment']",대전 서구 도마동 산 7,36.3252938,127.3627435,3
수정재,3.2,15.0,"['tourist_attraction', 'point_of_interest', 'establishment']",대전 서구 변동 250,36.3295809,127.3709102,3
